ApplicationID,Name,Gender,Age,City,State,AppliedProgram,ApplicationStatus,DateApplied,TestDate,QuantitativeScore,LogicalScore,VerbalScore,TotalScore,NumThankYou,NumFollowUp,NumReminder,NumAppStatus,AvgResponseTime,LastCommDate,MostFrequentChannel,InterviewerName,InterviewDate,Score,Feedback
A00018,Courtney Vasquez,Female,21,Port Dustin,Kentucky,Arts,Submitted,2024-01-30 00:00:00,2024-06-05 00:00:00,35,39,36,110,1,0,0,0,24,2024-03-31 00:00:00,WhatsApp,Katie Oneal,2024-02-21 00:00:00,51,Good technical skills
A00019,Angela Lambert,Male,32,South Ashley,Louisiana,Business,Rejected,2024-07-09 00:00:00,2024-05-22 00:00:00,26,27,26,79,0,0,1,0,12,2024-07-21 00:00:00,WhatsApp,Keith Gardner,2024-07-23 00:00:00,52,Excellent communication
A00020,Brendan Bright,Male,34,Lake Julie,Minnesota,Engineering,Submitted,2024-05-25 00:00:00,2024-03-16 00:00:00,36,22,40,98,1,0,0,0,2,2024-03-01 00:00:00,Phone Call,Charles Reyes,2024-11-07 00:00:00,89,Needs improvement
A00021,Evan Webb,Other,30,South Vanessa,Wisconsin,Computer Science,Rejected,2024-09-26 00:00:00,2024-11-29 00:00:00,29,30,36,95,1,0,0,0,6,2023-12-25 00:00:00,WhatsApp,Mark Rodriguez,2024-02-25 00:00:00,91,Good technical skills
A00023,Natalie Morgan,Other,30,Lake Fernando,Pennsylvania,Engineering,Interview Scheduled,2024-05-18 00:00:00,2024-09-19 00:00:00,25,11,15,51,0,0,0,1,2,2024-09-05 00:00:00,WhatsApp,Jason Anderson,2024-06-03 00:00:00,81,Average performance
A00025,Michael Adams,Other,25,New Jenny,Montana,Business,Interview Scheduled,2024-04-05 00:00:00,2024-07-10 00:00:00,33,12,38,83,1,0,0,0,6,2024-11-12 00:00:00,Email,Samuel Tran,2024-03-22 00:00:00,57,Good technical skills
A00026,Jeffrey Wolf,Other,22,West Jonville,South Carolina,Business,Interview Scheduled,2024-02-23 00:00:00,2024-04-27 00:00:00,25,31,31,87,1,0,0,0,24,2024-03-04 00:00:00,WhatsApp,Pamela Moore,2024-06-19 00:00:00,90,Excellent communication
A00028,Brooke Blackburn,Female,30,Ashleychester,New Mexico,Engineering,Rejected,2024-05-14 00:00:00,2024-09-13 00:00:00,13,11,20,44,1,0,0,0,12,2024-09-24 00:00:00,WhatsApp,Christine Williams,2024-09-22 00:00:00,76,Excellent communication
A00030,Laura Hudson,Other,34,West Danielbury,Pennsylvania,Business,Interview Scheduled,2024-06-29 00:00:00,2024-12-06 00:00:00,31,25,14,70,1,0,0,0,12,2024-05-06 00:00:00,Phone Call,Marcus Lopez,2024-07-11 00:00:00,65,Good technical skills
A00031,Matthew Phillips,Other,31,Patriciastad,Illinois,Business,Accepted,2024-07-02 00:00:00,2024-05-22 00:00:00,17,16,16,49,1,0,0,0,6,2024-04-30 00:00:00,Email,Janet Huber,2024-01-07 00:00:00,60,Needs improvement
A00032,Julia Shepherd,Female,26,Charlesfort,Massachusetts,Law,Submitted,2024-10-02 00:00:00,2024-01-06 00:00:00,36,31,36,103,0,1,0,0,6,2024-09-30 00:00:00,Email,Sharon Frederick,2024-09-09 00:00:00,67,Average performance
A00033,Jessica Johnson,Other,28,North Brookemouth,Virginia,Business,Accepted,2024-01-06 00:00:00,2024-08-28 00:00:00,40,40,34,114,0,0,1,0,4,2024-09-21 00:00:00,Email,Elizabeth Smith,2024-05-07 00:00:00,93,Good technical skills
A00035,Richard Weiss,Other,35,Lake Coreyland,Georgia,Arts,Accepted,2023-12-28 00:00:00,2023-12-16 00:00:00,17,22,39,78,0,0,1,0,2,2024-03-03 00:00:00,Email,Jennifer Wagner,2024-05-27 00:00:00,53,Good technical skills
A00036,Mia Adams,Other,19,Angelaton,Missouri,Arts,Accepted,2024-01-18 00:00:00,2024-07-25 00:00:00,21,33,16,70,0,0,1,0,12,2024-11-07 00:00:00,WhatsApp,Karen Miller,2024-01-06 00:00:00,85,Average performance
A00037,Kristie Larson,Female,35,South Amystad,Wisconsin,Computer Science,Submitted,2024-08-09 00:00:00,2024-01-18 00:00:00,17,16,36,69,0,1,0,0,6,2023-12-28 00:00:00,Phone Call,Christopher Harvey,2024-04-30 00:00:00,52,Excellent communication
A00040,Amanda Barber,Female,22,Ashleyburgh,Maryland,Arts,Submitted,2024-01-31 00:00:00,2024-01-15 00:00:00,33,31,39,103,0,1,0,0,2,2024-09-30 00:00:00,Email,Michele Farrell,2024-03-28 00:00:00,82,Good technical skills
A00041,Alyssa Brown,Female,35,Porterbury,Minnesota,Business,Accepted,2024-11-04 00:00:00,2024-11-16 00:00:00,12,15,36,63,0,0,0,1,48,2024-09-29 00:00:00,Email,Ernest Murphy,2024-01-26 00:00:00,66,Excellent communication
A00042,Mark Martinez,Male,35,West Eric,South Carolina,Arts,Interview Scheduled,2024-08-25 00:00:00,2024-10-12 00:00:00,11,28,24,63,0,1,0,0,12,2024-05-16 00:00:00,Phone Call,Lisa Cook,2024-01-17 00:00:00,98,Average performance
A00043,Jeff Palmer,Female,18,Williamsville,Kansas,Business,Interview Scheduled,2024-02-16 00:00:00,2024-06-10 00:00:00,28,23,18,69,1,0,0,0,48,2024-06-07 00:00:00,Email,Tina Curtis,2024-03-20 00:00:00,67,Average performance
A00044,Lauren Garcia,Male,34,South Pamela,Missouri,Engineering,Interview Scheduled,2024-07-03 00:00:00,2024-01-17 00:00:00,15,24,35,74,0,1,0,0,12,2024-05-23 00:00:00,Email,Robert Jefferson MD,2024-11-16 00:00:00,68,Excellent communication
A00045,William Palmer,Other,28,North Robert,Pennsylvania,Arts,Rejected,2024-08-18 00:00:00,2024-06-01 00:00:00,39,33,19,91,1,0,0,0,48,2024-04-07 00:00:00,WhatsApp,Cheryl Williams,2024-01-21 00:00:00,59,Average performance
A00046,Michele Mathis,Other,29,West Davidstad,North Dakota,Engineering,Accepted,2023-12-14 00:00:00,2024-09-02 00:00:00,16,32,32,80,1,0,0,0,48,2024-06-22 00:00:00,WhatsApp,Mary Barber,2024-10-10 00:00:00,65,Average performance
A00047,Sheila Smith,Female,20,New Lindseymouth,Mississippi,Law,Rejected,2024-09-22 00:00:00,2024-01-26 00:00:00,21,32,10,63,0,0,1,0,12,2024-02-06 00:00:00,Email,Julie Campbell,2023-12-19 00:00:00,96,Excellent communication
A00048,Mary Gibson,Other,22,Loristad,Louisiana,Arts,Interview Scheduled,2024-04-29 00:00:00,2024-07-09 00:00:00,39,40,26,105,0,0,0,1,24,2024-09-12 00:00:00,WhatsApp,Raymond Stephenson,2024-01-04 00:00:00,54,Good technical skills
A00049,Vincent Torres,Female,35,Cookside,Montana,Computer Science,Interview Scheduled,2024-04-06 00:00:00,2024-08-08 00:00:00,34,27,27,88,0,1,0,0,6,2024-08-22 00:00:00,WhatsApp,Trevor Carter,2024-08-20 00:00:00,67,Needs improvement
A00050,Barbara Reese,Female,34,Lake Leahfurt,Minnesota,Engineering,Submitted,2024-02-24 00:00:00,2024-10-24 00:00:00,30,35,11,76,0,1,0,0,12,2024-10-05 00:00:00,Phone Call,Philip Lewis,2024-08-26 00:00:00,66,Average performance
A00053,Crystal Lawson,Female,19,Lake Yvette,Mississippi,Arts,Rejected,2024-11-21 00:00:00,2024-02-15 00:00:00,39,27,12,78,0,1,0,0,4,2024-07-26 00:00:00,Phone Call,Anthony Le,2024-06-07 00:00:00,51,Good technical skills
A00055,Bob Sullivan,Male,20,Zacharyport,South Dakota,Business,Accepted,2024-05-13 00:00:00,2024-04-02 00:00:00,27,39,32,98,1,0,0,0,4,2024-05-14 00:00:00,WhatsApp,Thomas Harvey,2024-11-04 00:00:00,86,Average performance
A00056,Kirsten Mora,Other,25,Davidchester,Idaho,Engineering,Accepted,2023-12-13 00:00:00,2024-01-19 00:00:00,40,23,21,84,1,0,0,0,4,2024-11-01 00:00:00,WhatsApp,Jacqueline Weaver,2024-05-21 00:00:00,52,Average performance
A00057,Diana Le,Other,29,South Jerryberg,Michigan,Law,Submitted,2024-07-06 00:00:00,2024-11-20 00:00:00,23,18,37,78,0,1,0,0,12,2024-04-17 00:00:00,Phone Call,Richard King,2024-09-10 00:00:00,94,Needs improvement
A00058,James Mccormick,Female,22,New James,Oklahoma,Computer Science,Interview Scheduled,2024-08-04 00:00:00,2024-04-19 00:00:00,38,21,28,87,0,1,0,0,12,2024-08-02 00:00:00,WhatsApp,Carrie Harris,2024-03-20 00:00:00,81,Needs improvement
A00059,Tricia Chang,Other,25,Ramirezbury,South Dakota,Business,Submitted,2024-01-24 00:00:00,2024-07-21 00:00:00,33,40,17,90,0,0,1,0,2,2024-10-28 00:00:00,Phone Call,Patricia Wilkins,2024-07-02 00:00:00,52,Needs improvement
A00060,Scott Pena,Female,25,Tammyport,Missouri,Computer Science,Interview Scheduled,2024-02-24 00:00:00,2024-02-22 00:00:00,29,32,16,77,0,0,1,0,2,2024-12-08 00:00:00,Email,Kelsey Beasley,2024-04-02 00:00:00,77,Average performance
A00061,Jeffrey Jackson,Male,21,Murphyfurt,Tennessee,Computer Science,Rejected,2024-11-09 00:00:00,2024-09-25 00:00:00,32,28,37,97,0,0,0,1,12,2024-04-13 00:00:00,Phone Call,Justin Scott,2024-01-24 00:00:00,86,Good technical skills
A00062,Stacy Lee,Male,22,Hudsontown,Georgia,Business,Accepted,2024-08-28 00:00:00,2024-05-16 00:00:00,23,17,38,78,0,1,0,0,24,2024-10-21 00:00:00,Phone Call,Summer Ortega,2024-08-08 00:00:00,94,Excellent communication
A00063,Ryan Travis,Female,21,Lauraton,Ohio,Engineering,Interview Scheduled,2024-03-17 00:00:00,2024-05-02 00:00:00,34,16,27,77,0,0,1,0,12,2024-06-22 00:00:00,Phone Call,Stephen Arnold,2024-11-21 00:00:00,65,Average performance
A00064,Marcus Dean,Female,21,West Rachel,Nebraska,Arts,Rejected,2024-03-15 00:00:00,2024-03-27 00:00:00,10,19,35,64,0,1,0,0,24,2024-03-11 00:00:00,Email,David Boyd,2024-04-05 00:00:00,75,Average performance
A00065,David Davila,Other,19,Watsonview,Virginia,Law,Accepted,2024-01-21 00:00:00,2024-01-15 00:00:00,20,30,19,69,0,0,0,1,2,2024-02-14 00:00:00,WhatsApp,Dr. Ray Anderson,2024-02-22 00:00:00,86,Excellent communication
A00066,Frederick Robinson,Other,32,Mcdowellland,Utah,Engineering,Rejected,2024-09-12 00:00:00,2024-05-10 00:00:00,18,20,16,54,0,0,0,1,24,2024-06-19 00:00:00,WhatsApp,Frances Ramirez,2024-10-21 00:00:00,85,Excellent communication
A00067,Michael Perkins,Other,27,North Joseph,Connecticut,Engineering,Submitted,2024-03-29 00:00:00,2024-04-09 00:00:00,18,30,21,69,0,0,0,1,12,2023-12-13 00:00:00,Email,Danny Calhoun,2024-11-18 00:00:00,61,Good technical skills
A00068,Christina Bradshaw,Male,23,Lake Kimberlyview,Ohio,Computer Science,Submitted,2024-11-17 00:00:00,2024-05-24 00:00:00,17,36,36,89,0,0,0,1,12,2024-08-01 00:00:00,Phone Call,Sabrina Martinez,2024-01-11 00:00:00,71,Needs improvement
A00070,Ian Miller,Female,31,Josechester,Nevada,Engineering,Accepted,2024-08-01 00:00:00,2024-01-03 00:00:00,40,17,20,77,0,1,0,0,24,2024-03-29 00:00:00,WhatsApp,Douglas Wells,2024-01-28 00:00:00,87,Excellent communication
A00071,Andrew Stevens,Other,18,Sanchezmouth,Oregon,Engineering,Rejected,2024-03-07 00:00:00,2024-03-09 00:00:00,18,40,19,77,0,1,0,0,24,2024-05-08 00:00:00,Phone Call,David Hampton,2024-11-09 00:00:00,61,Excellent communication
A00072,Kristie Blankenship,Other,27,North Thomasshire,Pennsylvania,Business,Interview Scheduled,2024-05-14 00:00:00,2024-05-21 00:00:00,37,20,25,82,1,0,0,0,2,2024-01-07 00:00:00,Phone Call,Debra Ellis,2024-07-23 00:00:00,68,Needs improvement
A00073,Lisa Cox,Other,31,Maryborough,Illinois,Business,Accepted,2024-05-11 00:00:00,2024-06-16 00:00:00,16,31,27,74,0,0,1,0,4,2024-11-16 00:00:00,Phone Call,Brent Reeves,2024-10-24 00:00:00,97,Average performance
A00074,Steven Hernandez PhD,Male,34,Lake Matthewberg,Texas,Computer Science,Submitted,2024-05-28 00:00:00,2024-04-09 00:00:00,38,23,17,78,1,0,0,0,12,2024-06-27 00:00:00,WhatsApp,Christopher Garcia,2024-01-25 00:00:00,91,Average performance
A00075,Joseph Johnson,Male,28,East Dwaynehaven,Massachusetts,Business,Rejected,2024-02-08 00:00:00,2024-08-16 00:00:00,14,24,29,67,0,1,0,0,24,2024-11-17 00:00:00,WhatsApp,Dorothy Molina,2024-03-06 00:00:00,63,Average performance
A00076,Jeffery Hawkins,Other,31,Lake Amandamouth,Mississippi,Computer Science,Interview Scheduled,2024-11-30 00:00:00,2024-09-06 00:00:00,18,24,25,67,1,0,0,0,2,2024-10-02 00:00:00,WhatsApp,Taylor Weaver,2024-06-18 00:00:00,69,Needs improvement
A00077,Andrew Silva,Other,20,New Ronaldshire,Hawaii,Engineering,Rejected,2024-11-10 00:00:00,2024-10-06 00:00:00,35,22,28,85,1,0,0,0,4,2023-12-10 00:00:00,Email,Daniel Thompson,2024-09-24 00:00:00,76,Good technical skills
A00078,Nicole Kelley DVM,Male,20,Fernandochester,Nevada,Arts,Rejected,2024-10-24 00:00:00,2024-07-30 00:00:00,38,37,35,110,0,1,0,0,24,2024-05-11 00:00:00,Phone Call,Brandon Rowe,2024-02-24 00:00:00,86,Excellent communication
A00079,Brian Mcbride,Male,34,Wellsshire,Kentucky,Law,Interview Scheduled,2024-03-20 00:00:00,2024-08-30 00:00:00,24,13,32,69,1,0,0,0,4,2023-12-26 00:00:00,Phone Call,Larry Wood MD,2024-11-15 00:00:00,98,Excellent communication
A00080,William Drake,Male,23,Whiteshire,Wisconsin,Arts,Rejected,2024-09-01 00:00:00,2024-05-21 00:00:00,40,18,22,80,1,0,0,0,4,2024-03-19 00:00:00,Email,William Mitchell,2024-06-20 00:00:00,76,Average performance
A00081,Mark Long,Male,21,Brianahaven,Nevada,Business,Rejected,2024-11-12 00:00:00,2024-09-29 00:00:00,28,35,19,82,0,0,0,1,12,2024-02-23 00:00:00,WhatsApp,Haley Richardson MD,2024-05-10 00:00:00,95,Average performance
A00082,Veronica Lopez,Male,34,Greenmouth,Wyoming,Law,Submitted,2024-03-11 00:00:00,2024-09-22 00:00:00,15,28,35,78,0,0,1,0,48,2024-09-06 00:00:00,WhatsApp,Valerie Gutierrez,2024-08-17 00:00:00,64,Excellent communication
A00084,Lucas Harris,Other,23,New Darrellside,South Carolina,Arts,Interview Scheduled,2024-06-12 00:00:00,2024-02-22 00:00:00,30,39,11,80,0,1,0,0,4,2024-09-28 00:00:00,Email,Austin Murray,2024-09-28 00:00:00,73,Excellent communication
A00085,Peter Wilson,Other,32,Lake Marioburgh,Kentucky,Business,Rejected,2024-07-15 00:00:00,2024-06-24 00:00:00,11,37,38,86,0,0,0,1,24,2024-11-23 00:00:00,WhatsApp,Scott Mckinney,2024-08-02 00:00:00,98,Good technical skills
A00086,Timothy Richardson,Female,35,Port Jasmineview,Missouri,Business,Rejected,2024-06-02 00:00:00,2024-03-30 00:00:00,15,22,40,77,0,0,0,1,24,2024-07-07 00:00:00,Phone Call,Daniel Barnes,2024-06-05 00:00:00,86,Needs improvement
A00088,Christina Caldwell,Male,19,Perezville,Minnesota,Business,Rejected,2024-03-01 00:00:00,2024-08-11 00:00:00,21,17,38,76,0,0,0,1,2,2024-05-22 00:00:00,Phone Call,Diana Reeves,2024-05-01 00:00:00,57,Excellent communication
A00090,Jaime Dickson,Other,34,Lake Danielburgh,Delaware,Arts,Submitted,2023-12-31 00:00:00,2024-06-08 00:00:00,23,36,14,73,1,0,0,0,4,2024-03-13 00:00:00,WhatsApp,Jessica Murray,2024-03-03 00:00:00,62,Needs improvement
A00091,Debra Little MD,Female,23,Wrightchester,Iowa,Arts,Submitted,2024-06-14 00:00:00,2024-10-03 00:00:00,20,38,25,83,1,0,0,0,24,2023-12-12 00:00:00,WhatsApp,Jeffrey Rodriguez,2024-06-05 00:00:00,98,Average performance
A00092,Jonathan Donovan,Female,22,Port Staceyhaven,Minnesota,Law,Submitted,2024-09-29 00:00:00,2024-08-11 00:00:00,35,28,24,87,0,0,1,0,2,2024-04-28 00:00:00,Email,Kara Brady,2024-01-17 00:00:00,57,Average performance
A00093,Dominique Gentry,Other,25,Schneidermouth,New Mexico,Business,Interview Scheduled,2024-03-23 00:00:00,2024-06-12 00:00:00,31,14,18,63,0,1,0,0,6,2024-11-13 00:00:00,WhatsApp,Derek Mason,2024-01-04 00:00:00,94,Needs improvement
A00094,Kevin Davis,Female,27,Port Gailtown,Wyoming,Engineering,Interview Scheduled,2024-07-17 00:00:00,2024-10-28 00:00:00,17,34,21,72,0,0,1,0,24,2024-11-24 00:00:00,WhatsApp,Eric Watkins,2024-06-18 00:00:00,68,Good technical skills
A00095,Scott Bowman,Male,34,North Tammiemouth,Arkansas,Law,Submitted,2024-01-07 00:00:00,2024-06-06 00:00:00,39,19,26,84,0,1,0,0,4,2024-09-18 00:00:00,Phone Call,Jonathan Norman,2024-05-04 00:00:00,78,Average performance
A00096,William Nichols,Female,19,Lake Michaelchester,Massachusetts,Computer Science,Submitted,2024-03-06 00:00:00,2024-09-29 00:00:00,23,34,19,76,0,0,0,1,24,2024-09-21 00:00:00,Phone Call,Amanda Briggs,2024-11-27 00:00:00,62,Excellent communication
A00098,Roberto Klein,Female,27,South Dawn,Alabama,Business,Interview Scheduled,2024-03-12 00:00:00,2024-01-12 00:00:00,39,15,38,92,1,0,0,0,2,2024-11-24 00:00:00,Phone Call,Theresa Baker,2024-07-12 00:00:00,60,Needs improvement
A00100,Justin Aguirre,Male,27,South Mark,New Jersey,Business,Submitted,2024-10-24 00:00:00,2024-03-15 00:00:00,31,38,29,98,0,0,0,1,4,2024-01-05 00:00:00,WhatsApp,Calvin Allen,2024-01-18 00:00:00,86,Needs improvement
A00101,Jeff James,Female,25,Salazarland,Oklahoma,Computer Science,Rejected,2023-12-14 00:00:00,2024-07-22 00:00:00,22,17,21,60,0,0,0,1,12,2024-09-20 00:00:00,WhatsApp,Christopher Hamilton,2024-10-17 00:00:00,60,Average performance
A00103,Jeffrey Lewis,Other,26,New Darrell,Connecticut,Business,Interview Scheduled,2024-05-11 00:00:00,2024-05-06 00:00:00,11,26,10,47,0,1,0,0,12,2024-06-01 00:00:00,WhatsApp,Dorothy Carter,2023-12-21 00:00:00,91,Average performance
A00104,Caleb Austin,Male,31,Staceyfurt,Maine,Arts,Accepted,2024-04-02 00:00:00,2024-05-10 00:00:00,39,19,27,85,0,0,1,0,6,2024-12-02 00:00:00,WhatsApp,Timothy Waters,2024-07-30 00:00:00,89,Average performance
A00105,Linda Stark,Female,21,East Zachary,Alabama,Arts,Interview Scheduled,2024-05-16 00:00:00,2024-03-18 00:00:00,40,25,27,92,0,1,0,0,2,2024-05-24 00:00:00,Phone Call,Vincent Garrison,2023-12-10 00:00:00,71,Good technical skills
A00106,Mrs. Kimberly Stone,Other,34,South Samuelfort,Texas,Computer Science,Submitted,2024-03-21 00:00:00,2024-10-23 00:00:00,10,22,33,65,0,0,1,0,24,2024-07-28 00:00:00,Phone Call,William Clark,2024-12-01 00:00:00,62,Needs improvement
A00107,Miss Nancy Stephenson DDS,Male,34,East Denisefurt,Wisconsin,Engineering,Accepted,2024-08-01 00:00:00,2024-10-04 00:00:00,39,21,36,96,1,0,0,0,48,2024-07-25 00:00:00,WhatsApp,Alex Barton,2024-03-23 00:00:00,57,Average performance
A00109,David Mckinney,Male,27,South William,Washington,Computer Science,Rejected,2023-12-31 00:00:00,2024-10-04 00:00:00,16,24,18,58,1,0,0,0,24,2024-04-25 00:00:00,WhatsApp,Laura Moses,2024-04-07 00:00:00,60,Average performance
A00110,Jordan Mcintosh,Male,28,South Davidmouth,Nebraska,Engineering,Rejected,2024-01-24 00:00:00,2024-02-06 00:00:00,16,33,30,79,1,0,0,0,24,2024-04-26 00:00:00,WhatsApp,Laura Marshall,2024-02-22 00:00:00,63,Average performance
A00111,Lawrence Fuller,Other,25,Martinmouth,Iowa,Arts,Rejected,2023-12-11 00:00:00,2024-05-01 00:00:00,39,25,40,104,1,0,0,0,6,2024-01-14 00:00:00,Phone Call,Brandon Brown,2024-05-22 00:00:00,74,Needs improvement
A00113,Robert Roberts,Male,29,West Kenneth,Tennessee,Business,Rejected,2024-02-18 00:00:00,2024-09-30 00:00:00,24,11,16,51,0,0,0,1,48,2024-04-24 00:00:00,Email,Joshua Howard,2024-05-03 00:00:00,68,Excellent communication
A00114,Mandy Smith,Male,26,Claudiahaven,Arizona,Business,Submitted,2024-02-26 00:00:00,2024-06-18 00:00:00,40,28,17,85,1,0,0,0,12,2024-11-20 00:00:00,Phone Call,Michael Long DDS,2024-09-28 00:00:00,76,Excellent communication
A00115,John Ortiz,Female,29,New Tyler,Pennsylvania,Business,Submitted,2024-05-11 00:00:00,2024-12-06 00:00:00,11,22,26,59,1,0,0,0,48,2023-12-31 00:00:00,Email,Loretta Hernandez,2024-07-27 00:00:00,57,Needs improvement
A00116,William Garcia,Other,19,South Edward,Oklahoma,Arts,Rejected,2024-11-15 00:00:00,2024-10-18 00:00:00,31,19,16,66,0,0,1,0,2,2024-11-18 00:00:00,Email,Bradley Frazier,2024-03-17 00:00:00,60,Average performance
A00117,Christopher Scott,Male,23,Brewermouth,Vermont,Business,Accepted,2024-09-07 00:00:00,2024-11-24 00:00:00,26,24,35,85,1,0,0,0,12,2024-09-10 00:00:00,WhatsApp,Michelle Berry,2024-09-21 00:00:00,71,Needs improvement
A00118,Curtis Fields,Male,34,North Tracychester,Oklahoma,Business,Interview Scheduled,2024-08-22 00:00:00,2024-10-09 00:00:00,38,12,32,82,0,0,1,0,24,2024-05-07 00:00:00,WhatsApp,Michael Kemp,2024-04-26 00:00:00,70,Average performance
A00119,Melissa Nelson,Female,29,Williambury,Washington,Business,Submitted,2024-06-21 00:00:00,2024-10-19 00:00:00,22,21,39,82,0,1,0,0,4,2024-01-27 00:00:00,Email,Sharon Davis,2024-05-26 00:00:00,59,Good technical skills
A00120,John Callahan,Male,34,Lake Whitneystad,California,Computer Science,Submitted,2024-12-09 00:00:00,2024-08-31 00:00:00,15,29,32,76,1,0,0,0,24,2024-09-17 00:00:00,WhatsApp,John Wyatt,2024-09-25 00:00:00,90,Excellent communication
A00121,Amanda Davis,Male,21,New Nicole,Pennsylvania,Arts,Submitted,2024-03-31 00:00:00,2023-12-18 00:00:00,35,28,22,85,0,1,0,0,24,2024-01-18 00:00:00,WhatsApp,Connie Brown,2024-12-09 00:00:00,58,Excellent communication
A00122,Alexander Hernandez,Other,22,Justinstad,Vermont,Business,Accepted,2024-03-30 00:00:00,2024-08-25 00:00:00,31,20,16,67,0,0,0,1,6,2024-02-18 00:00:00,WhatsApp,Ashley Morris,2024-04-20 00:00:00,98,Good technical skills
A00123,Stephanie Cruz,Female,24,South Kimberly,Kansas,Law,Rejected,2024-03-11 00:00:00,2024-03-09 00:00:00,33,20,14,67,0,0,1,0,48,2024-03-23 00:00:00,Phone Call,Erik Humphrey,2024-11-10 00:00:00,76,Needs improvement
A00124,Julie Ramirez,Female,23,Port Michael,Minnesota,Arts,Accepted,2024-05-06 00:00:00,2024-08-17 00:00:00,15,40,35,90,0,0,1,0,24,2024-01-31 00:00:00,Email,Jennifer Heath,2023-12-13 00:00:00,64,Excellent communication
A00125,James Wade,Male,22,Jonesmouth,Massachusetts,Engineering,Accepted,2024-03-26 00:00:00,2024-06-02 00:00:00,21,39,32,92,0,1,0,0,48,2024-05-26 00:00:00,Phone Call,David Myers,2024-11-24 00:00:00,93,Needs improvement
