ApplicationID,InterviewerName,InterviewDate,Score,Feedback
A00133,Susan Austin,2024-07-19,54,Good technical skills
A00134,Stephen Anthony,2024-05-22,90,Average performance
A00135,Jeff Paul,2024-07-25,77,Needs improvement
A00136,Amanda Davis,2024-06-05,68,Average performance
A00137,Keith Miller,2024-01-20,84,Average performance
A00138,Anthony Nelson,2024-09-28,94,Needs improvement
A00139,Rebecca Matthews,2024-06-01,51,Needs improvement
A00140,Beth Mitchell,2024-06-19,70,Good technical skills
A00141,Christopher Phillips,2024-01-05,94,Good technical skills
A00142,Tammy Mayo,2024-09-20,93,Average performance
A00143,Robert Mccullough,2024-06-24,99,Good technical skills
A00144,Taylor Villegas,2024-02-22,61,Good technical skills
A00145,Nicholas Navarro,2024-07-04,90,Good technical skills
A00146,Maurice Moore,2024-02-11,56,Needs improvement
A00147,Dean Rodriguez,2024-09-23,76,Excellent communication
A00148,William Evans,2024-04-03,55,Excellent communication
A00149,Dustin Perez,2024-06-24,95,Excellent communication
A00150,Abigail Wilson,2024-04-28,84,Average performance
A00151,Robert Frey,2024-04-12,86,Good technical skills
A00152,Kimberly Wright,2024-08-01,65,Excellent communication
A00153,Mrs. Elizabeth Hall,2024-11-25,81,Needs improvement
A00154,Mrs. Crystal Washington,2024-05-23,93,Average performance
A00155,Alan Booth,2024-12-04,82,Needs improvement
A00156,Jermaine Lee,2024-02-12,99,Excellent communication
A00157,Christopher Maldonado,2024-02-01,92,Excellent communication
A00158,Yvette Carlson,2024-09-27,62,Excellent communication
A00159,Sarah Boyd,2024-10-16,99,Good technical skills
A00160,Hannah Green,2024-11-27,82,Needs improvement
A00161,Susan Smith,2023-12-20,78,Average performance
A00162,Andrea Escobar,2023-12-17,56,Excellent communication
A00163,Megan Brown,2024-03-17,57,Good technical skills
A00164,Zachary Harris,2024-07-22,52,Needs improvement
A00165,Amber Nicholson,2024-10-19,56,Needs improvement
A00166,Laura Griffin,2024-07-03,76,Average performance
A00167,Adam Jones,2024-09-21,97,Average performance
A00168,Brian Castro,2024-08-19,93,Excellent communication
A00169,Deborah Nelson,2024-11-04,90,Needs improvement
A00170,Joshua Durham,2024-03-20,75,Good technical skills
A00171,Jason Sanders,2024-11-15,68,Good technical skills
A00172,Scott Aguilar,2024-05-13,82,Needs improvement
A00173,Tracy Taylor,2024-09-30,54,Good technical skills
A00174,Dr. Tanya Baldwin,2024-11-15,99,Good technical skills
A00175,Nicole Anderson,2024-07-02,88,Good technical skills
A00176,Nathan Miller,2024-12-02,60,Good technical skills
A00177,Stephanie Nguyen,2024-03-27,89,Average performance
A00178,Marie Barrett,2024-11-12,85,Needs improvement
A00179,Rebecca Zuniga,2024-06-03,77,Good technical skills
A00180,Zachary Greene DDS,2024-05-16,95,Average performance
A00181,Maria Garza DVM,2024-07-13,57,Excellent communication
A00182,Erika Sanchez,2024-01-29,93,Excellent communication
A00183,Jacqueline Booth,2023-12-30,85,Needs improvement
A00184,Nicholas Simmons,2023-12-15,51,Average performance
A00185,Johnny Kirby,2024-09-14,70,Good technical skills
A00186,Kevin Sanders,2024-11-21,91,Average performance
A00187,Kaylee Jones,2024-09-28,97,Good technical skills
A00188,Stanley Moore,2024-09-12,54,Average performance
A00189,Vickie Gardner,2024-03-04,98,Excellent communication
A00190,Thomas Murphy,2024-09-09,85,Excellent communication
A00191,Trevor Montgomery,2024-09-06,88,Excellent communication
A00192,James Davis,2024-01-04,86,Average performance
A00193,William Collins,2024-05-24,88,Average performance
A00194,Jennifer Flores,2024-09-28,99,Excellent communication
A00195,Shawna Allen,2024-03-25,57,Excellent communication
A00196,Elizabeth Curtis,2023-12-29,89,Excellent communication
A00197,Brian Douglas,2024-04-08,91,Excellent communication
A00198,Chelsea Clark,2024-11-08,75,Average performance
A00199,Rebecca Costa,2024-05-09,71,Excellent communication
A00200,James Macias,2024-08-23,76,Average performance
A00201,Kaitlyn Parks,2024-04-27,90,Good technical skills
A00202,Keith Baker,2023-12-23,74,Average performance
A00203,Rebecca Mahoney,2024-03-21,90,Needs improvement
A00204,Carly Nolan,2024-08-11,63,Needs improvement
A00205,Russell Gonzalez,2024-03-16,86,Average performance
A00206,Daniel Hopkins,2023-12-20,56,Average performance
A00207,David Santiago,2024-01-04,77,Excellent communication
A00208,Anna White,2024-03-11,79,Good technical skills
A00209,Kim Rhodes,2024-05-03,64,Needs improvement
A00210,Steven Pratt,2024-03-08,94,Excellent communication
A00211,Michael Bailey,2024-08-03,97,Good technical skills
A00212,Melinda Floyd,2024-12-06,66,Needs improvement
A00213,Keith Mills,2024-03-31,86,Needs improvement
A00214,Michaela Holmes,2024-02-20,53,Excellent communication
A00215,Noah Fields,2024-08-25,88,Good technical skills
A00216,Monica Morgan,2024-07-30,65,Good technical skills
A00217,Elizabeth Hayden,2024-10-31,52,Good technical skills
A00218,Timothy Johnson,2024-12-06,79,Excellent communication
A00219,Candice Turner,2024-10-24,65,Good technical skills
A00220,Anne Jimenez,2024-05-09,96,Needs improvement
A00221,David Jones,2024-04-17,93,Good technical skills
A00222,Tiffany Rowland,2023-12-28,99,Good technical skills
A00223,Tyler Cook,2024-05-07,55,Needs improvement
A00224,Diana Johnson,2024-02-17,67,Excellent communication
A00225,Alyssa Krueger,2024-11-05,97,Needs improvement
A00226,Arthur Weiss,2024-01-17,100,Needs improvement
A00227,Jacob Rodriguez,2024-02-17,86,Good technical skills
A00228,Austin Garcia,2024-11-07,71,Average performance
A00229,Stephanie Ortega,2024-02-18,55,Good technical skills
A00230,Justin Davis,2024-02-17,59,Excellent communication
A00231,Donald Dunn,2024-04-23,55,Excellent communication
A00232,Shannon Cochran,2024-08-26,98,Excellent communication
A00233,Glen Pierce,2024-12-03,73,Excellent communication
A00234,Mark Brown,2024-02-03,77,Needs improvement
A00235,Joshua Curtis,2024-05-25,94,Good technical skills
A00236,Sonya Martin,2024-12-02,73,Good technical skills
A00237,Jacob Hawkins,2024-04-20,52,Good technical skills
A00238,Janice Davis,2024-03-11,67,Average performance
A00239,Cheyenne Moran,2023-12-14,97,Needs improvement
A00240,Mark Miller,2024-07-26,52,Good technical skills
A00241,Lori George,2024-09-17,82,Good technical skills
A00242,Mr. Dalton Lowe,2024-10-02,87,Needs improvement
A00243,Cassandra Howell DDS,2024-02-11,70,Good technical skills
A00244,Julia Smith,2024-08-07,88,Good technical skills
A00245,Mr. Brent Barrera,2024-08-24,84,Average performance
A00246,Valerie Ramirez,2024-04-03,81,Excellent communication
A00247,Gary Diaz,2024-05-17,91,Needs improvement
A00248,Mark Velasquez MD,2024-06-26,70,Excellent communication
A00249,Chad Ramirez,2024-08-28,97,Excellent communication
A00250,Rachel Brooks MD,2024-08-11,62,Good technical skills
A00251,Nicholas Roberts,2024-11-26,75,Good technical skills
A00252,Jill Estrada,2024-08-01,63,Needs improvement
A00253,Jack Mata,2024-05-23,91,Average performance
A00254,Ashley Ramirez,2024-08-10,65,Average performance
A00255,Kevin Rose,2024-09-07,55,Excellent communication
A00256,Nathan Brown,2023-12-22,72,Good technical skills
A00257,Aaron Robinson,2024-06-23,83,Needs improvement
A00258,Kristen Salas,2024-09-24,61,Good technical skills
A00259,Sara Durham,2024-06-16,71,Needs improvement
A00260,Cathy Hart,2024-04-25,97,Excellent communication
A00261,Benjamin Moss,2024-11-18,67,Needs improvement
A00262,Stephanie Mccoy,2024-05-16,62,Excellent communication
A00263,Aaron Lawson,2024-02-07,73,Needs improvement
A00264,Robert Cordova,2024-02-29,87,Good technical skills
A00265,David Lewis,2024-04-15,92,Needs improvement
A00266,David Pena,2024-03-08,72,Excellent communication
A00267,Alex Johnson,2024-02-12,70,Excellent communication
A00268,Brenda Hawkins,2023-12-12,50,Needs improvement
A00269,Amber Gray,2024-01-13,85,Needs improvement
A00270,April Burton,2024-09-12,82,Needs improvement
A00271,Kara Russell,2024-10-03,76,Good technical skills
A00272,Todd Lopez,2024-05-20,72,Excellent communication
A00273,Christopher Jenkins,2024-04-13,96,Excellent communication
A00274,Robert Walters,2024-02-01,92,Needs improvement
A00275,Kimberly Daniel DDS,2024-09-14,60,Needs improvement
A00276,Heather Cook,2024-01-11,100,Needs improvement
A00277,Jamie Gillespie,2024-04-16,58,Needs improvement
A00278,Nicholas Schaefer,2024-01-05,90,Average performance
A00279,Tiffany Burke,2024-04-04,64,Average performance
A00280,Karen Lowe,2024-10-30,58,Excellent communication
A00281,Mrs. Donna Horton,2024-08-11,72,Average performance
A00282,Heather Chen,2024-11-13,76,Average performance
A00283,Alexander Cunningham,2024-05-22,71,Average performance
A00284,Curtis Patton,2023-12-24,83,Average performance
A00285,Nicole Cantrell,2024-10-08,69,Needs improvement
A00286,Jermaine Santos,2024-03-04,52,Needs improvement
A00287,James Nolan,2024-03-20,83,Needs improvement
A00288,Casey Marks,2024-10-12,57,Needs improvement
A00289,Deborah Roberts,2024-03-30,69,Excellent communication
A00290,Christina Alexander,2024-08-03,95,Good technical skills
A00291,Mark Pitts,2024-08-04,90,Excellent communication
A00292,Bradley Ochoa,2024-02-05,90,Needs improvement
A00293,Matthew Daniels,2024-04-23,76,Needs improvement
A00294,Kevin Flores,2024-04-23,75,Needs improvement
A00295,Michelle Johnson,2024-05-18,53,Good technical skills
A00296,Karen Williams,2024-09-29,58,Excellent communication
A00297,Steven Smith,2024-12-01,78,Good technical skills
A00298,Amanda Phillips,2024-03-09,76,Good technical skills
A00299,Anna Reynolds,2024-02-11,86,Needs improvement
A00300,Linda Tucker,2024-05-31,91,Needs improvement
A00301,Joshua Bradley,2024-12-06,54,Average performance
A00302,Bobby Soto,2024-05-12,87,Average performance
A00303,Charles Hawkins,2024-09-17,78,Needs improvement
A00304,Peter Padilla,2024-04-04,59,Good technical skills
A00305,Amy Cooper,2024-09-14,76,Good technical skills
A00306,Jeremy Singh,2024-06-07,66,Good technical skills
A00307,Lisa Jimenez,2024-11-24,68,Excellent communication
A00308,Robert Yates,2024-09-21,78,Needs improvement
A00309,Ann Wright,2024-07-12,63,Needs improvement
A00310,Ashley Hess,2023-12-25,100,Excellent communication
A00311,Mr. Garrett Saunders,2024-12-07,69,Average performance
A00312,Dakota Thompson,2024-09-06,91,Needs improvement
A00313,Shirley Brown,2024-07-11,66,Average performance
A00314,Edward Barber,2024-01-16,96,Excellent communication
A00315,Edwin Hardin,2024-04-25,69,Average performance
A00316,Johnny Morrison,2024-01-28,54,Average performance
A00317,Joseph Shelton,2024-09-19,69,Needs improvement
A00318,Joseph Baker,2024-04-09,98,Average performance
A00319,Travis Rivera,2024-03-02,90,Average performance
A00320,Karen White,2024-07-19,53,Good technical skills
A00321,Ryan Roberts,2024-10-07,68,Good technical skills
A00322,Megan Callahan,2024-04-26,68,Good technical skills
A00323,Wanda Taylor,2024-09-24,87,Needs improvement
A00324,Judith Butler,2024-09-01,55,Needs improvement
A00325,David Howard,2024-03-14,50,Excellent communication
A00326,Philip Johnson,2024-07-06,88,Needs improvement
A00327,Kimberly Fleming,2024-10-04,83,Needs improvement
A00328,Jimmy Schroeder,2024-08-26,54,Average performance
A00329,Erik Grant,2024-04-10,98,Average performance
A00330,Jill Smith,2024-08-07,69,Needs improvement
A00331,Jessica Ortiz,2024-09-19,55,Average performance
A00332,Wendy Carter,2024-09-19,84,Average performance
A00333,Ryan Roman,2024-07-25,65,Needs improvement
A00334,Heather Walker,2024-11-28,70,Needs improvement
A00335,Bryan Taylor,2024-02-22,82,Average performance
A00336,John Reynolds,2024-06-10,87,Good technical skills
A00337,Gina Miller,2024-10-03,50,Average performance
A00338,Brian Bush,2024-07-13,86,Average performance
A00339,Lindsey Hoffman,2024-02-29,84,Average performance
A00340,Jessica Cantrell,2024-01-27,64,Good technical skills
A00341,Jessica Ortega,2024-05-21,71,Average performance
A00342,Michael Sanchez,2024-03-28,68,Needs improvement
A00343,John Fuentes,2024-03-24,72,Excellent communication
A00344,Amy Evans,2024-01-31,67,Good technical skills
A00345,Paula Johnson,2024-09-19,50,Needs improvement
A00346,Jennifer Rice,2024-07-18,87,Average performance
A00347,David Sanders,2024-01-04,75,Good technical skills
A00348,Audrey Pineda,2024-09-17,91,Excellent communication
A00349,Timothy Smith,2024-07-17,76,Good technical skills
A00350,Nicholas Huber,2024-08-06,62,Average performance
A00351,Matthew Skinner,2024-07-22,51,Good technical skills
A00352,Caitlyn Ibarra,2024-10-15,66,Needs improvement
A00353,Melissa Powell,2024-06-08,99,Excellent communication
A00354,Carol Patel,2024-01-07,66,Average performance
A00355,Katherine Lloyd,2024-06-04,73,Excellent communication
A00356,Rodney Taylor,2024-11-20,91,Average performance
A00357,Cody Garcia,2024-04-09,54,Needs improvement
A00358,John Scott,2024-07-04,89,Needs improvement
A00359,Samantha Colon,2024-03-07,87,Average performance
A00360,Dennis Gomez,2024-09-23,63,Good technical skills
A00361,Nicole Newman,2024-03-08,60,Needs improvement
A00362,Yolanda Cruz MD,2024-05-17,91,Needs improvement
A00363,Michael Lambert,2024-02-28,82,Excellent communication
A00364,Lauren Bennett,2024-03-02,73,Needs improvement
A00365,Walter Dawson,2024-12-08,52,Excellent communication
A00366,Sarah Evans,2024-08-16,100,Excellent communication
A00367,Jennifer Ward,2024-09-28,74,Needs improvement
A00368,Ms. Hannah Owen,2024-08-03,91,Average performance
A00369,Kristen Ortega,2024-07-04,66,Excellent communication
A00370,Susan Lee,2024-05-16,86,Needs improvement
A00371,Nicole Harrell,2024-09-20,54,Average performance
A00372,Kristine Hooper,2024-09-05,77,Excellent communication
A00373,Joshua Jimenez,2024-02-05,90,Good technical skills
A00374,Glenn Sweeney,2024-11-27,71,Needs improvement
A00375,Andrew Baker,2024-08-07,61,Average performance
A00376,Wendy Hall,2024-10-16,86,Excellent communication
A00377,Megan Gibson,2024-01-23,52,Good technical skills
A00378,Michael Thomas,2024-02-06,98,Needs improvement
A00379,Michael Boyd,2024-06-20,53,Excellent communication
A00380,Virginia Rivera,2024-05-26,76,Average performance
A00381,Donna Martinez,2024-08-14,91,Average performance
A00382,Travis Murphy,2024-12-07,100,Needs improvement
A00383,George Pham,2024-01-05,73,Good technical skills
A00384,Monique Medina,2024-08-23,96,Needs improvement
A00385,Stephanie Simmons,2024-03-24,65,Average performance
A00386,John Keith,2024-02-13,75,Average performance
A00387,Christopher Hart,2024-09-20,89,Good technical skills
A00388,April Kelley,2024-03-18,68,Average performance
A00389,Stacy Davis,2024-05-16,81,Good technical skills
A00390,Robert Mitchell,2024-01-10,77,Needs improvement
A00391,Julia Adams,2024-09-21,53,Good technical skills
A00392,Marc Edwards,2024-09-09,79,Needs improvement
A00393,Marissa Hood,2024-02-12,66,Excellent communication
A00394,Maria Coffey,2024-07-23,67,Good technical skills
A00395,Matthew King,2024-05-24,62,Excellent communication
A00396,Jamie King,2024-03-16,97,Average performance
A00397,Vickie Alexander,2024-04-08,54,Good technical skills
A00398,Lori Blackwell,2024-06-22,89,Needs improvement
A00399,Sarah Harmon,2023-12-19,75,Average performance
A00400,Mr. Nathan Schmidt,2024-01-18,86,Average performance
A00401,Mary Greene,2024-05-22,62,Average performance
A00402,Thomas Martinez,2024-05-26,98,Good technical skills
A00403,Eugene Johnson,2024-11-22,83,Needs improvement
A00404,Daniel Hill,2023-12-20,81,Good technical skills
A00405,Patricia Foster,2024-08-28,93,Needs improvement
A00406,John Morris,2024-06-30,77,Excellent communication
A00407,Laura Benson,2024-10-13,85,Good technical skills
A00408,Annette Barr,2024-01-07,93,Needs improvement
A00409,Linda Guerrero,2024-11-12,91,Good technical skills
A00410,Matthew Thomas,2024-04-12,71,Average performance
A00411,Anthony Contreras DDS,2024-11-30,66,Average performance
A00412,Kevin Bennett,2024-02-29,78,Average performance
A00413,Michael Gray,2024-06-19,62,Average performance
A00414,Joseph Harrison,2024-03-05,73,Excellent communication
A00415,Kyle Fletcher,2024-01-01,50,Excellent communication
A00416,Michael Glover,2024-04-18,92,Excellent communication
A00417,Tyler Davis,2024-05-23,64,Good technical skills
A00418,Howard Mckay,2024-05-23,85,Good technical skills
A00419,Charles Garcia,2024-02-15,80,Average performance
A00420,Sarah Mitchell,2024-05-24,77,Needs improvement
A00421,Alan Young,2024-05-24,88,Good technical skills
A00422,Heather Ramirez,2024-06-08,90,Excellent communication
A00423,Sharon Ferguson,2024-05-18,55,Average performance
A00424,Jessica Walter,2024-09-20,71,Average performance
A00425,Jennifer White,2024-07-11,99,Needs improvement
A00426,Mark Webb,2024-11-15,50,Needs improvement
A00427,Amanda Johnson,2024-04-24,62,Excellent communication
A00428,William Lopez,2024-10-09,90,Excellent communication
A00429,Joseph Wright,2024-01-28,85,Excellent communication
A00430,Maureen Lewis,2023-12-30,80,Needs improvement
A00431,Leslie Maxwell,2024-08-21,61,Average performance
A00432,Brenda Owens,2024-02-21,58,Average performance
A00433,Jessica Morris,2024-03-22,88,Average performance
A00434,Melissa Tate,2024-04-18,80,Excellent communication
A00435,Amanda Lawson,2024-10-07,73,Good technical skills
A00436,Janice Morgan DDS,2024-11-26,95,Excellent communication
A00437,Jon Phelps,2024-12-08,74,Average performance
A00438,Steven Morrow,2024-05-19,89,Needs improvement
A00439,Barry Vaughn,2024-08-09,90,Needs improvement
A00440,Jordan Benitez,2024-10-31,88,Needs improvement
A00441,Taylor Gay,2024-03-24,63,Good technical skills
A00442,Allison Mullins,2024-08-01,99,Good technical skills
A00443,George Vargas,2024-11-20,64,Average performance
A00444,David Rivera,2024-02-09,98,Good technical skills
A00445,Hailey Hart,2024-08-25,97,Good technical skills
A00446,Robert Cline,2024-05-04,86,Good technical skills
A00447,Kelly Blevins,2024-08-18,65,Average performance
A00448,Leslie Ortega,2024-12-06,66,Good technical skills
A00449,Justin Parsons,2024-09-27,56,Needs improvement
A00450,Christine Flores,2024-09-14,52,Needs improvement
A00451,Mikayla Blair,2023-12-29,93,Good technical skills
A00452,Benjamin Thomas,2024-02-12,98,Average performance
A00453,Stephanie Galvan,2024-03-05,79,Excellent communication
A00454,Adrienne Benson,2024-06-27,83,Excellent communication
A00455,Yolanda Gardner,2024-09-30,93,Good technical skills
A00456,Kevin Pena,2024-10-05,62,Average performance
A00457,Debra Lambert,2024-09-19,94,Needs improvement
A00458,Kristin Rivera,2024-07-10,80,Average performance
A00459,Steven Martin,2024-10-25,68,Average performance
A00460,Ellen Hatfield,2024-01-30,95,Needs improvement
A00461,Katherine Lambert,2024-07-13,56,Good technical skills
A00462,Richard Lopez,2024-02-02,83,Average performance
A00463,Samuel Jones,2024-06-06,97,Needs improvement
A00464,Nancy Hernandez,2024-11-22,73,Excellent communication
A00465,Kim Bennett,2024-06-02,55,Needs improvement
A00466,Tammy Williams,2024-08-27,85,Needs improvement
A00467,Darren Rodriguez,2024-10-29,62,Needs improvement
A00468,Sandra Scott,2023-12-15,65,Excellent communication
A00469,Paula Jones,2024-07-04,89,Excellent communication
A00470,Donald Johnson,2024-10-27,61,Needs improvement
A00471,Debra Williams,2024-05-02,68,Needs improvement
A00472,Katherine Bowman,2024-08-16,63,Excellent communication
A00473,Carl Myers,2024-02-26,70,Good technical skills
A00474,Matthew Smith,2024-01-05,69,Excellent communication
A00475,Kim Yang,2024-06-29,83,Average performance
A00476,Cheryl Gomez,2024-03-16,69,Needs improvement
A00477,Jon Sharp,2024-04-19,75,Average performance
A00478,Karen Morris,2024-09-13,72,Average performance
A00479,Daniel Wilkins,2024-10-12,96,Average performance
A00480,Jeremy Guerra,2024-08-28,81,Average performance
A00481,Ashley Stone,2024-10-17,52,Needs improvement
A00482,Scott Peterson,2024-09-27,78,Good technical skills
A00483,Tracy Carrillo,2024-09-21,90,Average performance
A00484,Janice Murillo,2024-09-20,67,Good technical skills
A00485,Randy Ramirez,2024-07-11,61,Needs improvement
A00486,Thomas Ellis,2024-09-16,68,Average performance
A00487,Ryan Adams,2024-08-10,91,Needs improvement
A00488,Carly Ross,2024-02-05,82,Average performance
A00489,Helen Sanchez,2024-06-08,87,Excellent communication
A00490,Charles Wilson,2024-11-02,93,Average performance
A00491,Gregory Hoffman,2024-08-13,91,Needs improvement
A00492,Felicia Shepard,2024-03-27,85,Good technical skills
A00493,Amanda Taylor,2024-03-05,87,Excellent communication
A00494,Michelle Parker,2024-10-01,81,Excellent communication
A00495,Savannah Lewis,2024-04-01,52,Excellent communication
A00496,Jonathan Snyder,2024-07-26,73,Needs improvement
A00497,Michael Snyder,2024-08-09,86,Average performance
A00498,Mary Adams,2024-10-10,93,Needs improvement
A00499,Phillip Alexander,2024-04-26,63,Needs improvement
